run_id,run_timestamp,model,split,label_basis,feature_space,clustering_strategy,n_clusters,adjusted_rand_index,cluster_purity,model_params
20260302T204523345799Z,2026-03-02T20:45:23Z,KMeans,validation,CanonicalTeam,event_compound_zscore_numeric_plus_driver,driver_profile_trainfit_driver_profile_predict,10,0.23196502350529932,0.39590182735683155,"{""algorithm"": ""lloyd"", ""copy_x"": true, ""init"": ""k-means++"", ""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 40, ""random_state"": 42, ""tol"": 0.0001, ""verbose"": 0}"
20260302T204523345799Z,2026-03-02T20:45:23Z,KMeans,test,CanonicalTeam,event_compound_zscore_numeric_plus_driver,driver_profile_trainfit_driver_profile_predict,10,0.23044727070019563,0.3947187141216992,"{""algorithm"": ""lloyd"", ""copy_x"": true, ""init"": ""k-means++"", ""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 40, ""random_state"": 42, ""tol"": 0.0001, ""verbose"": 0}"
20260302T204523345799Z,2026-03-02T20:45:23Z,GMM,validation,CanonicalTeam,event_compound_zscore_numeric_plus_driver,direct_lap_clustering_trainfit_cov_full,10,0.2943359411802839,0.4825674745775671,"{""covariance_type"": ""full"", ""init_params"": ""kmeans"", ""max_iter"": 300, ""means_init"": null, ""n_components"": 10, ""n_init"": 5, ""precisions_init"": null, ""random_state"": 42, ""reg_covar"": 0.0001, ""tol"": 0.001, ""verbose"": 0, ""verbose_interval"": 10, ""warm_start"": false, ""weights_init"": null}"
20260302T204523345799Z,2026-03-02T20:45:23Z,GMM,test,CanonicalTeam,event_compound_zscore_numeric_plus_driver,direct_lap_clustering_trainfit_cov_full,10,0.29045781839034707,0.47761194029850745,"{""covariance_type"": ""full"", ""init_params"": ""kmeans"", ""max_iter"": 300, ""means_init"": null, ""n_components"": 10, ""n_init"": 5, ""precisions_init"": null, ""random_state"": 42, ""reg_covar"": 0.0001, ""tol"": 0.001, ""verbose"": 0, ""verbose_interval"": 10, ""warm_start"": false, ""weights_init"": null}"
